model,train,test
LinearSGD_default,735.3054513510097,797.860906349863
Lasso_default,735.1141349504433,797.5342849781929
Ridge_default,736.5927685125905,766.2464508454933
ElasticNet_default,731.1093854836774,772.033509399661
LinearSGD_minmax,722.9170943124443,810.5627742181787
Ridge_minmax,971.822320593709,1006.6108866291316
Lasso_minmax,722.7432951393902,810.0859485742337
ElasticNet_minmax,922.000745261116,971.9787987545266
LinearSGD_standart,764.7990264568606,821.3845788508196
Lasso_standart,764.6538519367188,821.1671480046896
Ridge_standart,742.760534796232,786.4163071209344
ElasticNet_standart,751.7436133748101,801.0131046959522
