model,train,test
LinearSGD_default,1062.6175982097045,1239.6810621058703
Lasso_default,1062.4800570732773,1239.456978020076
Ridge_default,1101.0210165776252,1165.0316620932272
ElasticNet_default,1077.9267168435722,1178.509192184268
LinearSGD_minmax,1042.4237635124784,1267.9097484108838
Ridge_minmax,1403.241309009003,1428.057867458418
Lasso_minmax,1042.345721630678,1266.4020780404137
ElasticNet_minmax,1343.9832434763348,1370.9633051688008
LinearSGD_standart,1077.666930014275,1266.176927895974
Lasso_standart,1077.5433498154928,1265.9915725752885
Ridge_standart,1060.52286402207,1225.4200632577874
ElasticNet_standart,1067.1785822341212,1242.5397281992052
LinearSGD_poly,1070.5989670309214,79182.74571172126
Lasso_poly,1080.8039331234322,1079.5451063380904
Ridge_poly,1071.333996030119,35649.25578475161
ElasticNet_poly,1087.6267814819555,1087.0511010290638
Naive_mean,1585.609098964619,1573.167569221111
Naive_median,1631.7199525081228,1617.4931668919633
